# v,actor_1,actor_2,actor_3,actor_4,actor_5
0.000000000000000000e+00,3.348822813552754241e-03,3.348822813552754241e-03,3.348822813552754241e-03,3.348822813552754241e-03,3.348822813552754241e-03
5.000000000000000278e-02,2.864681214901132478e-03,2.864681214901132478e-03,2.864681214901132478e-03,2.864681214901132478e-03,2.864681214901132478e-03
1.000000000000000056e-01,2.652205199088375487e-03,2.652205199088375487e-03,2.652205199088375487e-03,2.652205199088375487e-03,2.652205199088375487e-03
1.500000000000000222e-01,2.618195428159489010e-03,2.618195428159489010e-03,2.618195428159489010e-03,2.618195428159489010e-03,2.618195428159489010e-03
2.000000000000000111e-01,2.049146478443120145e-03,2.049146478443120145e-03,2.049146478443120145e-03,2.049146478443120145e-03,2.049146478443120145e-03
2.500000000000000000e-01,2.221655564617064371e-03,2.221655564617064371e-03,2.221655564617064371e-03,2.221655564617064371e-03,2.221655564617064371e-03
3.000000000000000444e-01,1.808572070055247671e-03,1.808572070055247671e-03,1.808572070055247671e-03,1.808572070055247671e-03,1.808572070055247671e-03
3.500000000000000333e-01,2.105635806898205169e-03,2.105635806898205169e-03,2.105635806898205169e-03,2.105635806898205169e-03,2.105635806898205169e-03
4.000000000000000222e-01,1.778372149990326001e-03,1.778372149990326001e-03,1.778372149990326001e-03,1.778372149990326001e-03,1.778372149990326001e-03
4.500000000000000111e-01,1.504216093804355836e-03,1.504216093804355836e-03,1.504216093804355836e-03,1.504216093804355836e-03,1.504216093804355836e-03
5.000000000000000000e-01,1.907250730616327728e-03,1.907250730616327728e-03,1.907250730616327728e-03,1.907250730616327728e-03,1.907250730616327728e-03
5.500000000000000444e-01,1.663254082128973188e-03,1.663254082128973188e-03,1.663254082128973188e-03,1.663254082128973188e-03,1.663254082128973188e-03
6.000000000000000888e-01,1.449864276859669232e-03,1.449864276859669232e-03,1.449864276859669232e-03,1.449864276859669232e-03,1.449864276859669232e-03
6.500000000000000222e-01,1.267192287796370387e-03,1.267192287796370387e-03,1.267192287796370387e-03,1.267192287796370387e-03,1.267192287796370387e-03
7.000000000000000666e-01,1.717760992041001897e-03,1.717760992041001897e-03,1.717760992041001897e-03,1.717760992041001897e-03,1.717760992041001897e-03
7.500000000000000000e-01,1.576009919431742290e-03,1.576009919431742290e-03,1.576009919431742290e-03,1.576009919431742290e-03,1.576009919431742290e-03
8.000000000000000444e-01,1.411049066552094722e-03,1.411049066552094722e-03,1.411049066552094722e-03,1.411049066552094722e-03,1.411049066552094722e-03
8.500000000000000888e-01,1.265502795927520019e-03,1.265502795927520019e-03,1.265502795927520019e-03,1.265502795927520019e-03,1.265502795927520019e-03
9.000000000000000222e-01,1.136761441188238742e-03,1.136761441188238742e-03,1.136761441188238742e-03,1.136761441188238742e-03,1.136761441188238742e-03
9.500000000000000666e-01,1.022619647361278084e-03,1.022619647361278084e-03,1.022619647361278084e-03,1.022619647361278084e-03,1.022619647361278084e-03
1.000000000000000000e+00,1.364293246752984511e-03,1.364293246752984511e-03,1.364293246752984511e-03,1.364293246752984511e-03,1.364293246752984511e-03
